sis_taxon_id,assessment_id,year_published
163408,1005834,2018
163458,1009824,2021
164276,1036571,2013
16475,1073433,2017
164893,1076798,2012
135458600,1076984,2021
16503,1077288,2020
165788,1101456,2020
165811,1102413,2016
166031,1106881,2012
166150,1115227,2019
166196,1119035,2017
166197,1119161,2012
166200,1119526,2012
166216,1120822,2012
166268,1125619,2012
166410,1131667,2019
166415,1131904,2020
166442,1132697,2014
166444,1132861,2024
166456,1133172,2020
166461,1133274,2020
166475,1133957,2025
166490,1135100,2022
166517,1135671,2020
166546,1136566,2019
166566,1137243,2019
166572,1137438,2020
166627,1139469,2019
166638,1139628,2021
166641,1139783,2018
166774,1141971,2012
166879,1146648,2014
166885,1147263,2021
166893,1148498,2012
166904,1150136,2020
166905,1150254,2019
166908,1150726,2022
166913,1151456,2020
166926,1153057,2024
166929,1153330,2019
166935,1154326,2019
166940,1155058,2012
166941,1155206,2024
166942,1155316,2019
166944,1155711,2017
166947,1155760,2014
166955,1156821,2019
166957,1157078,2023
166961,1157356,2023
166963,1157622,2017
166964,1157806,2024
166966,1157918,2021
166974,1158740,2021
166979,1159322,2019
166982,1159765,2019
166989,1160489,2021
166996,1161449,2020
167010,1163029,2016
169388,1275926,2019
169632,1279491,2017
169975,1281221,2014
170154,1283454,2014
170156,1283528,2014
170157,1283831,2014
170158,1283985,2014
170159,1284207,2014
170160,1284573,2014
170161,1285017,2014
170162,1285147,2014
170163,1285377,2014
170164,1285475,2014
170165,1285626,2014
170166,1285837,2014
170167,1286175,2014
170168,1286359,2014
170169,1286510,2014
170171,1287031,2014
170172,1287155,2014
170174,1287447,2014
170175,1287615,2014
170176,1287803,2014
170177,1287932,2014
170178,1288028,2014
170179,1288183,2014
170180,1288332,2014
170181,1288460,2014
170182,1288591,2014
170185,1289061,2014
170186,1289197,2014
170187,1289518,2014
170189,1289744,2014
170190,1289896,2014
170191,1290230,2014
170192,1290385,2014
170193,1290621,2014
170195,1290919,2014
170196,1291075,2014
170197,1291218,2014
170198,1291605,2014
170199,1292034,2014
170201,1292355,2014
170203,1292594,2014
170205,1292909,2014
170207,1293357,2014
170209,1293809,2014
170210,1293923,2014
170211,1294089,2014
170212,1294201,2014
170213,1294378,2014
170214,1294540,2014
170216,1294924,2014
170217,1295177,2014
170218,1295250,2014
170219,1295401,2014
170220,1295501,2014
170222,1296127,2014
170223,1296293,2014
170224,1296530,2014
170227,1297217,2014
170228,1297329,2014
170229,1297432,2014
170230,1297752,2014
170232,1298055,2014
170233,1298374,2014
170234,1298535,2014
170235,1298671,2014
170236,1298814,2014
170238,1299019,2014
170239,1299349,2014
170240,1299632,2014
170241,1299733,2014
170242,1299928,2014
170243,1300078,2014
170244,1300216,2014
170245,1300534,2014
170246,1300886,2014
170248,1301161,2014
170249,1301306,2014
170250,1301642,2014
170251,1301787,2014
170252,1302250,2014
170253,1302459,2014
170254,1302776,2014
170255,1302872,2014
170257,1303135,2014
170258,1303321,2014
170259,1303743,2014
170260,1303905,2014
170261,1304171,2014
170262,1304486,2014
170263,1304848,2014
170264,1305162,2014
170265,1305271,2014
17026,1306343,2015
170272,1306648,2014
170273,1306794,2014
170280,1307759,2014
170281,1308023,2014
170282,1308146,2014
170283,1308287,2014
170284,1308498,2014
170285,1308739,2014
170286,1308950,2014
170287,1309077,2014
170526,1316202,2018
171815,1332569,2012
171899,1336617,2012
171906,1337058,2012
172016,1338489,2018
