sciname_match,aphia_id,sciname_query
Anableps dowei,1567201,Anableps dowei
Jordanella pulchra,314714,Jordanella pulchra
NA,NA,Enteroctopus hongkongensis
NA,NA,Gambusia yucatana
NA,NA,Poecilia butleri
Poecilia kykesis,1009772,Poecilia kykesis
Conus biancae,553037,Conus biancae
Conus luquei,224933,Conus luquei
Conus melissae,429016,Conus melissae
Conus caillaudii,426438,Conus caillaudi
Conus fantasmalis,224869,Conus fantasmalis
Conus hypochlorus,429608,Conus hypochlorus
Conus serranegrae,225050,Conus serranegrae
Conus evorai,224867,Conus evorai
Conus speciosissimus,429443,Conus speciosissimus
Conus exquisitus,429440,Conus exquisitus
Conus claudiae,225104,Conus claudiae
Conus derrubado,224852,Conus derrubado
Conus largilliertii,429839,Conus largillierti
Conus taslei,428380,Conus taslei
Conus atlanticoselvagem,225092,Conus atlanticoselvagem
Conus phuketensis,429715,Conus phuketensis
Conus teodorae,225059,Conus teodorae
Conus fontonae,224874,Conus fontonae
Conus sazanka,430177,Conus sazanka
Conus salreiensis,225042,Conus salreiensis
Conus mordeirae,224999,Conus mordeirae
Conus olgae,456808,Conus olgae
Conus subulatus,429913,Conus subulatus
Conus hybridus,224278,Conus hybridus
Conus messiasi,224974,Conus messiasi
Conus pineaui,224315,Conus pineaui
Conus sanderi,428349,Conus sanderi
Conus crioulus,225110,Conus crioulus
Conus irregularis,224901,Conus irregularis
Conus gabryae,429100,Conus gabryae
NA,NA,Vieja fenestrata
Vieja maculicauda,283148,Vieja maculicauda
Gobionellus hastatus,309549,Gobionellus hastatus
Sicydium gymnogaster,282777,Sicydium gymnogaster
Callogobius productus,1871568,Callogobius productus
Hazeus nephodes,314543,Hazeus nephodes
Paragobiodon melanosomus,219537,Paragobiodon melanosomus
Trimma unisquamis,278517,Trimma unisquamis
Paragobiodon xanthosomus,277618,Paragobiodon xanthosomus
Stonogobiops xanthorhinica,1593962,Stonogobiops xanthorhinica
Siphamia versicolor,277710,Siphamia versicolor
NA,NA,Pristiapogon taeniophorus
NA,NA,Yongeichthys suluensis
NA,NA,Ostracion cyanurum
Ostracion nasus,219906,Ostracion nasus
Acanthostracion guineensis,1577400,Acanthostracion guineensis
Pterothrissus belloci,282504,Pterothrissus belloci
NA,NA,Gobiosoma schultzi
Apogon amboinensis,272971,Apogon amboinensis
NA,NA,Akihito futuna
NA,NA,Akihito vanuatu
NA,NA,Lentipes kaaea
NA,NA,Lentipes rubrofasciatus
NA,NA,Lentipes solomonensis
NA,NA,Schismatogobius fuligimentus
NA,NA,Schismatogobius vanuatuensis
NA,NA,Schismatogobius vitiensis
NA,NA,Sicyopterus aiensis
NA,NA,Sicyopterus marquesensis
NA,NA,Sicyopterus ouwensi
NA,NA,Sicyopterus pugnans
NA,NA,Sicyopterus sarasini
NA,NA,Smilosicyopus bitaeniatus
NA,NA,Smilosicyopus chloe
NA,NA,Smilosicyopus sasali
NA,NA,Stenogobius caudimaculosus
NA,NA,Stenogobius keletaona
NA,NA,Stenogobius marqueti
NA,NA,Stenogobius randalli
NA,NA,Stenogobius squamosus
NA,NA,Stiphodon astilbos
NA,NA,Stiphodon birdsong
NA,NA,Stiphodon discotorquatus
NA,NA,Stiphodon hydroreibatus
NA,NA,Stiphodon julieni
NA,NA,Stiphodon kalfatak
NA,NA,Stiphodon mele
NA,NA,Stiphodon rubromaculatus
NA,NA,Stiphodon sapphirinus
NA,NA,Stiphodon tuivi
NA,NA,Kuhlia malo
NA,NA,Moolgarda heterocheilos
NA,NA,Lamnostoma mindora
Lamnostoma orientalis,1621414,Lamnostoma orientalis
Lamnostoma polyophthalma,277380,Lamnostoma polyophthalma
NA,NA,Hippichthys albomaculosus
NA,NA,Microphis cruentus
Fundulus xenica,1577884,Fundulus xenica
NA,NA,Cathorops agassizii
NA,NA,Cathorops arenatus
Doiichthys novaeguineae,317792,Doiichthys novaeguineae
Liza grandisquamis,273640,Liza grandisquamis
Notarius rugispinis,344677,Notarius rugispinis
Cheimarrichthys fosteri,1621607,Cheimarrichthys fosteri
NA,NA,Macrobrachium novaehollandiae
NA,NA,Halopyrgus pagodulus
Halopyrgus pupoides,821054,Halopyrgus pupoides
Potamopyrgus estuarinus,598617,Potamopyrgus estuarinus
Potamopyrgus kaitunuparaoa,821094,Potamopyrgus kaitunuparaoa
Congriscus megastomus,1621426,Congriscus megastomus
Ophichthus hijala,1623721,Ophichthus hijala
Ariosoma major,271724,Ariosoma major
Ichthyapus keramanus,1805597,Ichthyapus keramanus
Leptocephalus congroides,281315,Leptocephalus congroides
Ostrea imputata,506722,Ostrea imputata
Bathymodiolus marisindicus,457557,Bathymodiolus marisindicus
NA,NA,Stiphodon oatea
NA,NA,Smilosicyopus pentecost
NA,NA,Batagur baska
NA,NA,Carettochelys insculpta
Dipturus leptocaudus,298838,Dipturus leptocaudus
NA,NA,Crocodylus niloticus
Dipturus trachydermus,298841,Dipturus trachydermus
NA,NA,Heteropoma fulva
NA,NA,Heteropoma glabratum
NA,NA,Heteropoma pyramis
NA,NA,Heteropoma quadrasi
NA,NA,Heteropoma tuberculatum
NA,NA,Heteropoma turritum
Latiaxis babelis,156189,Latiaxis babelis
NA,NA,Laticauda crockeri
NA,NA,Planiliza luciae
Mesonerilla prospera,413174,Mesonerilla prospera
Muricopsis mariangelae,405030,Muricopsis mariangelae
NA,NA,Muricopsis matildae
Myxus capensis,218897,Myxus capensis
NA,NA,Duritropis albocarinata
NA,NA,Omphalotropis carolinensis
NA,NA,Omphalotropis cookei
NA,NA,Omphalotropis elegans
NA,NA,Omphalotropis elongatula
NA,NA,Omphalotropis erosa
NA,NA,Omphalotropis fragilis
NA,NA,Omphalotropis gracilis
NA,NA,Omphalotropis guamensis
NA,NA,Omphalotropis howeinsulae
NA,NA,Omphalotropis laevigata
NA,NA,Omphalotropis laticosta
NA,NA,Omphalotropis latilabris
NA,NA,Omphalotropis mutica
NA,NA,Omphalotropis ochthogyra
NA,NA,Omphalotropis picta
NA,NA,Omphalotropis pilosa
NA,NA,Omphalotropis quadrasi
NA,NA,Omphalotropis semicostulata
NA,NA,Omphalotropis striatapila
NA,NA,Omphalotropis submaritima
NA,NA,Omphalotropis suturalis
NA,NA,Omphalotropis tumidula
NA,NA,Omphalotropis plicosa
NA,NA,Omphalotropis hieroglyphica
Cymodocea nodosa,145793,Cymodocea nodosa
NA,NA,Zostera marina
NA,NA,Pacifastacus leniusculus
Apogon sealei,273095,Apogon sealei
Apogon semilineatus,273097,Apogon semilineatus
Apogon compressus,272999,Apogon compressus
Apogon neotes,273053,Apogon neotes
Apogon notatus,273057,Apogon notatus
Apogon margaritophorus,273039,Apogon margaritophorus
Apogon rubrimacula,273090,Apogon rubrimacula
NA,NA,Sicydium plumieri
Apogon wassinki,273117,Apogon wassinki
Centropyge loricula,278841,Centropyge loricula
Clathrocaspia gmelinii,1332957,Clathrocaspia gmelinii
NA,NA,Eupaludestrina maltzani
NA,NA,Mercuria baudoniana
NA,NA,Ecrobia vitrea
Eupaludestrina macei,1457262,Eupaludestrina macei
Ecrobia ventrosa,238104,Ecrobia ventrosa
Hydrobia acuta,140123,Hydrobia acuta
Eupaludestrina dalmatica,1457257,Eupaludestrina dalmatica
Eupaludestrina stagnorum,1457275,Eupaludestrina stagnorum
Eupaludestrina rausiana,1457267,Eupaludestrina rausiana
Paradoxa confirmata,405075,Paradoxa confirmata
Paradoxa thomensis,405076,Paradoxa thomensis
Ruppia cirrhosa,416218,Ruppia cirrhosa
Ruppia maritima,234031,Ruppia maritima
Roa modestus,298144,Roa modestus
Centropyge interruptus,278839,Centropyge interruptus
NA,NA,Takifugu orbimaculatus
Neritina violacea,549376,Neritina violacea
Assiminea beddomeana,1308265,Assiminea beddomeana
Iravadia ornata,535656,Iravadia ornata
Gangetia miliacea,767299,Gangetia miliacea
Neritina sulculosa,756949,Neritina sulculosa
Tanysiphon rivalis,505779,Tanysiphon rivalis
Stenothyra deltae,716231,Stenothyra deltae
Scaphula deltae,504463,Scaphula deltae
Assiminea theobaldiana,717008,Assiminea theobaldiana
Stenothyra ornata,1430037,Stenothyra ornata
Clithon reticulare,873608,Clithon reticulare
Neritina smithii,818769,Neritina smithi
NA,NA,Thiara paludomoidea
Assiminea hungerfordiana,1452411,Assiminea hungerfordiana
Assiminea brevicula,716989,Assiminea brevicula
Nerita articulata,818075,Nerita articulata
Stenothyra soluta,1430038,Stenothyra soluta
Assiminea microsculpta,1308275,Assiminea microsculpta
Stenothyra blanfordiana,1451861,Stenothyra blanfordiana
Novaculina gangetica,536678,Novaculina gangetica
Stenothyra nana,820068,Stenothyra nana
NA,NA,Ayarnangra estuarius
Acanthus ilicifolius,344740,Acanthus ilicifolius
Halophila ovalis,208930,Halophila ovalis
Tridentiger kuroiwae,298283,Tridentiger kuroiwae
Jasus tristani,246525,Jasus tristani
Justitia longimanus,421859,Justitia longimanus
NA,NA,Palinustus mossamicus
Neritina platyconcha,754622,Neritina platyconcha
Stenothyra monilifera,820049,Stenothyra monilifera
Halophila stipulacea,145714,Halophila stipulacea
Phyllospadix torreyi,374709,Phyllospadix torreyi
Posidonia kirkmanii,374730,Posidonia kirkmanii
Heterozostera chilensis,669497,Heterozostera chilensis
NA,NA,Ruppia polycarpa
Halophila johnsonii,374724,Halophila johnsonii
Halophila euphlebia,377114,Halophila euphlebia
Halophila sulawesii,1361076,Halophila sulawesii
Halodule pinifolia,626404,Halodule pinifolia
Halodule uninervis,208924,Halodule uninervis
Halodule beaudettei,208923,Halodule beaudettei
Halophila tricostata,374726,Halophila tricostata
Enhalus acoroides,208932,Enhalus acoroides
Syringodium isoetifolium,374716,Syringodium isoetifolium
Posidonia australis,374712,Posidonia australis
Halodule ciliata,377178,Halodule ciliata
NA,NA,Zostera caulescens
Posidonia angustifolia,374711,Posidonia angustifolia
Halophila engelmannii,374722,Halophila engelmanni
Halophila hawaiiana,374723,Halophila hawaiiana
Zostera asiatica,374699,Zostera asiatica
Cymodocea angustata,374728,Cymodocea angustata
Phyllospadix japonicus,374706,Phyllospadix japonicus
Halophila beccarii,208929,Halophila beccarii
Halophila spinulosa,374725,Halophila spinulosa
Phyllospadix iwatensis,374705,Phyllospadix iwatensis
NA,NA,Zostera geojeensis
Thalassia testudinum,374720,Thalassia testudinum
Halodule emarginata,1533045,Halodule emarginata
Nanozostera japonica,1723145,Nanozostera japonica
Posidonia sinuosa,374714,Posidonia sinuosa
Posidonia denhartogii,374729,Posidonia denhartogii
Ruppia megacarpa,495093,Ruppia megacarpa
Halophila decipiens,145713,Halophila decipiens
NA,NA,Lepilaena australis
Heterozostera tasmanica,374710,Heterozostera tasmanica
Heterozostera nigricaulis,669498,Heterozostera nigricaulis
Amphibolis antarctica,374718,Amphibolis antarctica
NA,NA,Zostera caespitosa
Cymodocea serrulata,208919,Cymodocea serrulata
Lepilaena marina,495097,Lepilaena marina
Amphibolis griffithii,374719,Amphibolis griffithii
Nanozostera noltii,669496,Nanozostera noltii
NA,NA,Ruppia filifolia
Cymodocea rotundata,208921,Cymodocea rotundata
Thalassia hemprichii,208931,Thalassia hemprichii
Halophila capricorni,823803,Halophila capricorni
Phyllospadix serrulatus,374708,Phyllospadix serrulatus
Phyllospadix scouleri,374707,Phyllospadix scouleri
Halophila ovata,208927,Halophila ovata
Posidonia coriacea,660627,Posidonia coriacea
Nanozostera capensis,1345366,Nanozostera capensis
Halophila australis,374889,Halophila australis
Halodule wrightii,208925,Halodule wrightii
NA,NA,Zostera pacifica
Halodule bermudensis,377177,Halodule bermudensis
Thalassodendron ciliatum,220228,Thalassodendron ciliatum
Halophila minor,208926,Halophila minor
Ruppia tuberosa,495094,Ruppia tuberosa
Syringodium filiforme,374715,Syringodium filiforme
Posidonia ostenfeldii,374713,Posidonia ostenfeldii
Heterozostera polychlamys,669499,Heterozostera polychlamys
Halophila nipponica,593696,Halophila nipponica
NA,NA,Halophila baillonii
Thalassodendron pachyrhizum,374717,Thalassodendron pachyrhizum
Nanozostera muelleri,1723149,Nanozostera muelleri
NA,NA,Iravadia annadalei
Iravadia funerea,607228,Iravadia funerea
Faunus ater,581169,Faunus ater
Villorita corbiculoides,1358676,Villorita corbiculoides
Villorita cornucopia,1358678,Villorita cornucopia
Plectranthias chungchowensis,312933,Plectranthias chungchowensis
Microcephalophis cantoris,407684,MIcrocephalophis cantoris
Hydrophis caerulescens,344052,Hydrophis caerulescens
Hydrophis ocellatus,344068,Hydrophis ocellatus
NA,NA,Hydrophis anomalus
NA,NA,Hydrophis macdowelli
NA,NA,Ephalophis greyae
NA,NA,Aipysurus eydouxii
Hydrophis laboutei,344061,Hydrophis laboutei
Microcephalophis gracilis,344091,MIcrocephalophis gracilis
NA,NA,Hydrophis walli
Acrostichum aureum,235080,Acrostichum aureum
NA,NA,Ischaemum muticum
NA,NA,Sphaeranthus amaranthoides
NA,NA,Aponogeton appendiculatus
NA,NA,Cyperus stoloniferus
Lobotes pacificus,1621602,Lobotes pacificus
Sonneratia caseolaris,235109,Sonneratia caseolaris
Aegiceras corniculatum,235069,Aegiceras corniculatum
Laguncularia racemosa,235050,Laguncularia racemosa
NA,NA,Sonneratia griffithii
Nypa fruticans,234451,Nypa fruticans
NA,NA,Tabebuia palustris
Aegialitis annulata,235078,Aegialitis annulata
NA,NA,Bruguiera gymnorhiza
Sonneratia alba,235107,Sonneratia alba
Xylocarpus moluccensis,235066,Xylocarpus moluccensis
Conocarpus erectus,418734,Conocarpus erectus
Heritiera globosa,235118,Heritiera globosa
Camptostemon philippinensis,344743,Camptostemon philippinensis
Avicennia rumphiana,235042,Avicennia rumphiana
Acrostichum danaeifolium,234489,Acrostichum danaeifolium
Avicennia germinans,235037,Avicennia germinans
Ceriops zippeliana,742488,Ceriops zippeliana
Acrostichum speciosum,234490,Acrostichum speciosum
Sonneratia ovata,235111,Sonneratia ovata
Heritiera fomes,235117,Heritiera fomes
NA,NA,Phoenix paludosa
NA,NA,Scyphiphora hydrophylacea
Camptostemon schultzii,235047,Camptostemon schultzii
Rhizophora racemosa,235096,Rhizophora racemosa
Avicennia officinalis,235041,Avicennia officinalis
Bruguiera parviflora,235084,Bruguiera parviflora
Ceriops tagal,235088,Ceriops tagal
Avicennia schaueriana,235043,Avicennia schaueriana
Ceriops australis,344707,Ceriops australis
Rhizophora mucronata,235095,Rhizophora mucronata
Bruguiera exaristata,235081,Bruguiera exaristata
Sonneratia lanceolata,235305,Sonneratia lanceolata
Avicennia marina,235040,Avicennia marina
Cynometra iripa,1591387,Cynometra iripa
Avicennia alba,235034,Avicennia alba
Rhizophora samoensis,235097,Rhizophora samoensis
Acanthus ebracteatus,344739,Acanthus ebracteatus
NA,NA,Bruguiera hainesii
Brownlowia tersa,1804899,Brownlowia tersa
Acanthus volubilis,344741,Acanthus volubilis
Pemphis acidula,235061,Pemphis acidula
Aegialitis rotundifolia,235079,Aegialitis rotundifolia
Bruguiera cylindrica,234496,Bruguiera cylindrica
Sonneratia apetala,235108,Sonneratia apetala
Excoecaria agallocha,235057,Excoecaria agallocha
Bruguiera sexangula,235085,Bruguiera sexangula
Avicennia integra,235038,Avicennia integra
Xylocarpus granatum,235064,Xylocarpus granatum
Lumnitzera racemosa,235053,Lumnitzera racemosa
Avicennia bicolor,235035,Avicennia bicolor
Brownlowia argentata,1804961,Brownlowia argentata
Osbornia octodonta,235073,Osbornia octodonta
Rhizophora stylosa,235098,Rhizophora stylosa
Heritiera littoralis,235119,Heritiera littoralis
Ceriops decandra,235087,Ceriops decandra
Lumnitzera littorea,235052,Lumnitzera littorea
Kandelia obovata,394961,Kandelia obovata
Aegiceras floridum,235070,Aegiceras floridum
Kandelia candel,235090,Kandelia candel
NA,NA,Mora oleifera
NA,NA,Ponapella pihapiha
NA,NA,Tylochromis praecox
Xenistius californiensis,283178,Xenistius californiensis
NA,NA,Cathorops taylori
Bollmannia pawneea,279937,Bollmannia pawneea
Gobiesox daedaleus,275668,Gobiesox daedaleus
Hermosilla azurea,281049,Hermosilla azurea
Eugerres periche,280742,Eugerres periche
NA,NA,Hypsoblennius maculipinna
Sargocentron suborbitalis,272219,Sargocentron suborbitalis
Xenomugil thoburni,283187,Xenomugil thoburni
Bollmannia longpinnus,713726,Bollmannia longpinnus
Diapterus aureolus,276413,Diapterus aureolus
Pseudogramma thaumasium,278297,Pseudogramma thaumasium
Melampus caffer,738194,Melampus caffer
Laemodonta amplicata,1472042,Laemodonta amplicata
Galatea nux,494748,Galatea nux
Galatea schwabi,1460415,Galatea schwabi
Galatea heukelomii,1599852,Galatea heukelomii
Thaumastocheles dochmiodon,382869,Thaumastocheles dochmiodon
Antipodarctus aoteanus,383012,Antipodarctus aoteanus
Xyrichtys woodi,273615,Xyrichtys woodi
Xyrichtys koteamea,273601,Xyrichtys koteamea
Iniistius javanicus,713559,Iniistius javanicus
Nelabrichthys ornatus,281647,Nelabrichthys ornatus
Pseudolabrus mortonii,315413,Pseudolabrus mortonii
Xyrichtys sciistius,712767,Xyrichtys sciistius
Xenojulis margaritaceus,1621431,Xenojulis margaritaceus
Novaculichthys macrolepidotus,219034,Novaculichthys macrolepidotus
Anampses viridis,218922,Anampses viridis
NA,NA,Stenothyra perdives
Iravadia mahimensis,578547,Iravadia mahimensis
Cerithidea pliculosa,419535,Cerithidea pliculosa
Laemodonta punctigera,574842,Laemodonta punctigera
Ellobium chinense,872447,Ellobium chinense
NA,NA,Chilina patagonica
NA,NA,Clithon faba
Melampus striatus,1469732,Melampus striatus
Melampus coffeus,581905,Melampus coffeus
Salinator solida,591281,Salinator solida
Laemodonta striata,740230,Laemodonta striata
Assiminea obtusa,1567466,Assiminea obtusa
NA,NA,Helicorbis australiensis
NA,NA,Quadrasiella clathrata
NA,NA,Quadrasiella mucronata
Ranella parthenopaeum,405086,Ranella parthenopaeum
Kuhlia rubens,278249,Kuhlia rubens
Eptatretus lopheliae,398222,Eptatretus lopheliae
Scaevatula amancioi,434880,Scaevatula amancicoi
NA,NA,Thaanumella angulosa
NA,NA,Thaanumella cookei
NA,NA,Assiminea infirma
NA,NA,Assiminea pecos
NA,NA,Wrayanna soluta
Rhizophora apiculata,235093,Rhizophora apiculata
NA,NA,Dolichandrone spathacea
NA,NA,Aglaia cucullata
Serranus dewegeri,304875,Serranus dewegeri
Vanvoorstia bennettiana,374962,Vanvoorstia bennettiana
NA,NA,Collisella edmitchelli
NA,NA,Conacmella vagans
NA,NA,Monoplex parthenopaeus
