query,syn_id,syn_name,valid_aphia_id,valid_sciname,error
273165,713674,Callionymus kanekonis,273165,Callionymus beniteguri,NA
273165,315465,Repomucenus beniteguri,273165,Callionymus beniteguri,NA
273174,1022558,Callionymus punctatus,273174,Callionymus curvicornis,NA
273174,402742,Callionymus richardsoni,273174,Callionymus curvicornis,NA
273174,302258,Callionymus richardsonii,273174,Callionymus curvicornis,NA
273174,315466,Repomucenus curvicornis,273174,Callionymus curvicornis,NA
273174,282566,Repomucenus richardsonii,273174,Callionymus curvicornis,NA
273600,713559,Iniistius javanicus,273600,Xyrichtys javanicus,NA
273600,319679,Novacula javanica,273600,Xyrichtys javanicus,NA
273633,401787,Labotes pacificus,273633,Lobotes pacifica,NA
273633,1621602,Lobotes pacificus,273633,Lobotes pacifica,NA
273633,322361,Verrugato pacificus,273633,Lobotes pacifica,NA
274308,403334,Pegusa triophthalmus,274308,Pegusa triophthalma,NA
274308,305864,Solea triophthalma,274308,Pegusa triophthalma,NA
274308,305865,Solea triophthalmus,274308,Pegusa triophthalma,NA
274313,403340,Dagetichthys albomaculatus,274313,Synaptura albomaculata,NA
274315,403342,Dagetichthys commersonnii,274315,Synaptura commersonnii,NA
274315,305706,Pleuronectes commersonianus,274315,Synaptura commersonnii,NA
274315,305707,Pleuronectes commersonnii,274315,Synaptura commersonnii,NA
274315,403343,Solea commersonianus,274315,Synaptura commersonnii,NA
274315,403344,Synaptura commersoni,274315,Synaptura commersonnii,NA
274315,219834,Synaptura commersoniana,274315,Synaptura commersonnii,NA
274315,713832,Synaptura commersonii,274315,Synaptura commersonnii,NA
274338,367716,Coregonus anaulorum,274338,Coregonus anaulorum,NA
274338,324381,Coregonus lavaretus pidchian natio anaulorum,274338,Coregonus anaulorum,NA
274344,305925,Coregonus rudolphianus,274344,Coregonus peled,NA
274344,305929,Coregonus syrok,274344,Coregonus peled,NA
274344,305971,Salmo cyprinoides,274344,Coregonus peled,NA
274344,306050,Salmo peled,274344,Coregonus peled,NA
