iucn_sciname,worms_valid_sciname,sis_taxon_id,iucn_assessment_id,aphia_id,aquax,notes
conus litteratus,conus litteratus,192719,2148620,215522,SDM,NA
conus micropunctatus,conus micropunctatus,192720,2149176,428206,SDM,NA
conus glans,conus glans,192722,2149399,215567,SDM,NA
conus bartschi,conus bartschi,192724,2150167,426392,SDM,NA
conus infrenatus,conus infrenatus,192725,2150361,428158,SDM,NA
conus verdensis,conus verdensis,192726,2150490,225085,No SDM,NA
conus achatinus,conus achatinus,192727,2150613,215431,SDM,NA
conus sulcocastaneus,conus sulcocastaneus,192728,2151006,428373,SDM,NA
conus crocatus,conus crocatus,192729,2151106,426467,No SDM,NA
conus bonfigliolii,conus bonfigliolii,192731,2151723,723808,SDM,NA
conus cervus,conus cervus,192732,2151845,426449,SDM,NA
conus sukhadwalai,conus sukhadwalai,192733,2151970,428371,SDM,NA
conus binghamae,conus binghamae,192734,2152104,429330,No SDM,NA
conasprella tornata,conasprella tornata,192735,2152250,836787,SDM,NA
conus babaensis,conus babaensis,192736,2152414,426378,SDM,NA
conus bengalensis,conus bengalensis,192738,2153075,215465,SDM,NA
conus patamakanthini,conus patamakanthini,192739,2153283,429101,SDM,NA
conus dampierensis,conus dampierensis,192740,2153393,426473,SDM,NA
conus raulsilvai,conus raulsilvai,192742,2153645,225023,No SDM,NA
conus tessulatus,conus tessulatus,192743,2153746,215519,SDM,NA
conus ateralbus,conus ateralbus,192744,2154590,224798,No SDM,NA
conus nucleus,conus nucleus,192745,2154735,215555,SDM,NA
conus poormani,conus poormani,192746,2154926,428244,SDM,NA
conus milesi,conus milesi,192747,2155107,428207,SDM,NA
conus harlandi,conus harlandi,192749,2155395,428148,SDM,NA
conus moylani,conus moylani,192750,2155533,429825,SDM,NA
conus rosemaryae,conus rosemaryae,192752,2155797,428268,SDM,NA
conus pergrandis,conus pergrandis,192753,2155890,430437,SDM,NA
conus coffeae,conus coffeae,192754,2156021,426459,SDM,NA
profundiconus profundorum,profundiconus profundorum,192755,2156452,580594,SDM,NA
conus sutanorcum,conus sutanorcum,192757,2156664,428427,SDM,NA
conus richeri,conus richeri,192758,2156800,428266,SDM,NA
conus janus,conus janus,192759,2156934,215459,SDM,NA
conus stramineus,conus stramineus,192760,2157150,428365,SDM,NA
conus mappa,conus mappa,192761,2157274,428937,SDM,NA
conus telatus,conus telatus,192762,2157377,428381,SDM,NA
conus troendlei,conus troendlei,192763,2157493,428431,SDM,NA
artemidiconus selenae,artemidiconus selenae,192766,2157849,577955,SDM,NA
conasprella eucoronata,conasprella eucoronata,192767,2157974,580169,SDM,NA
conus swainsoni,conus swainsoni,192769,2158296,428377,SDM,NA
conus geographus,conus geographus,192772,2158685,215499,SDM,NA
conus polongimarumai,conus polongimarumai,192773,2159365,428243,SDM,NA
conus wilsi,conus wilsi,192774,2159488,428409,SDM,NA
conus kerstitchi,conus kerstitchi,192775,2159631,428170,SDM,NA
conus shikamai,conus shikamai,192776,2159761,428355,SDM,NA
conus colmani,conus colmani,192777,2159880,426461,SDM,NA
conus vexillum,conus vexillum,192778,2160021,215516,SDM,NA
conus ochroleucus,conus ochroleucus,192779,2160354,428224,SDM,NA
profundiconus cakobaui,profundiconus cakobaui,192780,2160540,581029,SDM,NA
conus ranonganus,conus ranonganus,192781,2160656,428260,SDM,NA
conus velaensis,conus velaensis,192783,2160886,428399,SDM,NA
conus aureopunctatus,conus aureopunctatus,192784,2160983,429313,SDM,NA
conus stercusmuscarum,conus stercusmuscarum,192786,2161273,428363,SDM,NA
conus fijisulcatus,conus fijisulcatus,192787,2161416,428421,SDM,NA
conus bahamensis,conus bahamensis,192788,2161535,430478,SDM,NA
conus tulipa,conus tulipa,192789,2161684,215503,SDM,NA
conus trigonus,conus trigonus,192790,2161810,428394,SDM,NA
conus typhon,conus typhon,192792,2162075,428996,SDM,NA
conus cylindraceus,conus cylindraceus,192793,2162218,215474,SDM,NA
conus augur,conus augur,192794,2162628,428935,SDM,NA
conus musicus,conus musicus,192796,2163189,215435,SDM,NA
conus thalassiarchus,conus thalassiarchus,192797,2163482,428386,SDM,NA
conus patae,conus patae,192798,2163579,420217,SDM,NA
conus namocanus,conus namocanus,192799,2163768,215450,SDM,NA
conus ciderryi,conus ciderryi,192800,2164023,426451,SDM,NA
profundiconus dondani,profundiconus dondani,192802,2164242,751666,SDM,NA
conus angasi,conus angasi,192803,2164348,426320,SDM,NA
conasprella acutimarginata,conasprella acutimarginata,192804,2164473,1350017,SDM,NA
conus archetypus,conus archetypus,192805,2164626,429301,SDM,NA
conus kiicumulus,conus kiicumulus,192806,2164780,430447,SDM,NA
conasprella bajanensis,conasprella bajanensis,192807,2164891,835308,SDM,NA
conus grahami,conus grahami,192808,2165033,224887,No SDM,NA
conus ceruttii,conus ceruttii,192809,2165156,426448,SDM,NA
conus xanthicus,conus xanthicus,192810,2165315,428411,SDM,NA
conus planorbis,conus planorbis,192811,2165567,215475,SDM,NA
conus quercinus,conus quercinus,192812,2165939,215439,SDM,NA
conus floccatus,conus floccatus,192813,2166459,426503,No SDM,NA
conasprella rainesae,conasprella rainesae,192814,2166688,835319,SDM,NA
conasprella ximenes,conasprella ximenes,192816,2167402,836189,SDM,NA
conus kulkulcan,conus kulkulcan,192817,2167556,428173,SDM,NA
conus deynzerorum,conus deynzerorum,192818,2167711,428999,SDM,NA
conus omaria,conus omaria,192819,2167859,215498,SDM,NA
conasprella puncticulata,conasprella puncticulata,192822,2168504,836771,No SDM,NA
conus nimbosus,conus nimbosus,192824,2168761,428219,SDM,NA
conus neptunus,conus neptunus,192825,2169008,428217,SDM,NA
conasprella gordyi,conasprella gordyi,192826,2169100,580171,SDM,NA
conus penchaszadehi,conus penchaszadehi,192827,2169264,428237,SDM,NA
conus circumcisus,conus circumcisus,192829,2169555,426455,SDM,NA
conus carnalis,conus carnalis,192830,2169804,426446,SDM,NA
