sciname,aphia_id
Actinia equina,100803
Stichopus horrens,210914
Chondrus ocellatus,371694
Austromegabalanus psittacus,535006
Dajaus monticola,1042835
Lethrinus xanthochilus,212079
Pagetopsis maculata,234796
Cyclocheilichthys armatus,1418417
Paralomis longipes,550585
Manducus maderensis,281518
Dalophis cephalopeltis,271932
Chaetodon trifascialis,218719
Microlipophrys velifer,1014185
Hemibagrus guttatus,1021012
Parapercis hexophtalma,219159
Cheilinus chlorourus,218941
Charybdis miles,NA
Schizothorax progastus,1026849
Echiophis brunneus,275475
Pisidia longicornis,107188
Luidia ciliaris,123920
Exallodontus aguanai,1011238
Rhynchobatus cooki,1022441
Deosergestes henseni,514121
Nucula nitidosa,140589
Tetraselmis chui,345528
Apricaphanius baeticus,1605353
Caridina cantonensis,586158
Sargassum horneri,494853
Nannostomus marginatus,1017913
Cetorhinus maximus,105837
Stenodus leucichthys,127189
Channa argus,594763
Oreochromis mossambicus,218777
Eutrigla gurnardus,150637
Buccinum undatum,138878
Galeus melastomus,105812
Coregonus lavaretus,127180
Siniperca chuatsi,1021545
Kyphosus cinerascens,218708
Pleuronectes platessa,127143
Striostrea denticulata,506738
Turbo marmoratus,216369
Branta canadensis,159176
Cnemidocarpa bicornuta,250333
Carbasea ovoidea,173750
Calonectris diomedea,137194
Acanthobunocephalus nicoi,1010242
Tympanopleura rondoni,1525896
Ameiurus platycephalus,1021283
Anthias anthias,127031
Argyrosomus japonicus,218633
Atrophacanthus japonicus,219866
Enteromius unitaeniatus,1423448
Belonoperca chabanaudi,218173
Fenestraja cubensis,275415
Callogobius amikami,278873
Caulolatilus princeps,276217
Chalixodytes tauensis,278671
Chlopsis dentatus,221382
Clinostomus elongatus,1020946
Coryphaenoides longifilis,272336
Cyclopsetta panamensis,275702
Danionella translucida,1011849
Diplecogaster bimaculata,126513
Elassoma boehlkei,1011681
Epinephelus rivulatus,218216
Eustomias longibarba,127344
Gasterosteus wheatlandi,159437
Gonialosa manmina,280913
Hadropareia middendorffii,280970
Hemigobius melanurus,NA
Hiodon tergisus,590492
Hyporhamphus affinis,213170
Johnius dussumieri,367241
Lactophrys triqueter,158932
Lepidotrigla vanessa,274921
Liparis liparis,127219
Lycodichthys antarcticus,234759
Melanostomias valdiviae,127365
Monochirus hispidus,127155
Myxus elongatus,276971
Neoepinnula orientalis,159713
Notropis girardi,1015954
Opisthoproctus soleatus,126733
Pachystomias microdon,127367
Parambassis altipinnis,1012228
Pectenocypris balaena,1011541
Phoxinus phoxinus,154326
Plesiobatis daviesi,220089
Potamotrygon motoro,882142
Pseudocaranx chilensis,273281
Pterotolithus maculatus,282507
Dipturus olseni,271556
Rhinobatos rhinobatos,105898
Salmo ferox,1021730
Scopelarchoides danae,158755
Serranus scriba,127043
Spatuloricaria phelpsi,1014499
Stichaeopsis epallax,282887
Synodus lucioceps,272132
Thysanactis dentex,282973
Trachypoma macracanthus,283033
Aspidophoroides olrikii,309268
Mugilogobius amadi,1017457
Pseudotrematomus loennbergii,NA
Callinectes arcuatus,442766
Projasus bahamondei,382904
Exhippolysmata oplophoroides,421776
Heterocarpus ensifer,107644
Daphnia lumholtzi,NA
Metapenaeopsis beebei,377479
Glyphocrangon sicaria,515716
Octopus tehuelchus,342032
Alloteuthis subulata,153131
Anadara tuberculosa,504313
Sinonovacula constricta,413600
Donax striatus,494732
Lunulicardia hemicardium,381513
Siliqua alta,413689
Periglypta reticulata,714811
Euspira catena,140528
Turbo bruneus,413428
Chicoreus brunneus,208143
Mancinella armigera,396999
Tonicia schrammi,386334
Anemonia sulcata,NA
Thelenota anax,210915
Chondrus pinnulatus,371693
Girella tricuspidata,280870
Archosargus rhomboidalis,159239
Eumegistus illustris,280749
Paraliparis devriesi,234658
Epalzeorhynchos kalopterus,NA
Percnon gibbesi,107458
Argyropelecus affinis,127307
Dalophis multidentatus,271933
Chaetodon collare,273330
Parablennius dialloi,273128
