assessment_id,group,sis_taxon_id,sciname,redlist_version,redlist_category,assessed_year,scope
1551584,blennies,178949,Helcogramma fuscipectoris,3.1,LC,2014,Global
1551732,blennies,178950,Enneapterygius bahasa,3.1,LC,2014,Global
1552022,blennies,178952,Clinus woodi,3.1,LC,2014,Global
1552152,blennies,178953,Blennioclinus brachycephalus,3.1,LC,2014,Global
1552282,blennies,178954,Enneapterygius sheni,3.1,DD,2014,Global
1552464,blennies,178957,Enneapterygius pyramis,3.1,LC,2014,Global
1552712,blennies,178959,Enneapterygius melanospilus,3.1,LC,2014,Global
1553026,blennies,178962,Clinus venustris,3.1,LC,2014,Global
1553147,blennies,178963,Enneapterygius triserialis,3.1,LC,2014,Global
1554001,blennies,178971,Clinus berrisfordi,3.1,LC,2014,Global
1554613,blennies,178976,Clinus rotundifrons,3.1,LC,2014,Global
1554737,blennies,178977,Enneapterygius paucifasciatus,3.1,LC,2014,Global
1555177,blennies,178980,Clinus nematopterus,3.1,LC,2014,Global
1555485,blennies,178982,Enneapterygius genamaculatus,3.1,LC,2014,Global
1555586,blennies,178983,Cremnochorites capensis,3.1,LC,2014,Global
1555812,blennies,178985,Enneapterygius pallidoserialis,3.1,LC,2014,Global
1555938,blennies,178986,Enneapterygius rufopileus,3.1,LC,2014,Global
1556047,blennies,178987,Enneapterygius altipinnis,3.1,LC,2014,Global
1556517,blennies,178991,Enneapterygius williamsi,3.1,LC,2014,Global
1557283,blennies,178997,Clinus cottoides,3.1,LC,2014,Global
1557506,blennies,178999,Clinus latipennis,3.1,EN,2014,Global
1557751,blennies,179001,Enneapterygius nanus,3.1,LC,2014,Global
1557941,blennies,179002,Enneapterygius fasciatus,3.1,LC,2014,Global
1558127,blennies,179003,Cancelloxus burrelli,3.1,LC,2014,Global
1558492,blennies,179006,Enneapterygius atrogulare,3.1,LC,2014,Global
1559009,blennies,179010,Clinoporus biporosus,3.1,LC,2014,Global
1559132,blennies,179012,Helcogramma capidata,3.1,LC,2014,Global
1559314,blennies,179013,Enneapterygius elaine,3.1,LC,2014,Global
1559815,blennies,179017,Enneapterygius rhothion,3.1,LC,2014,Global
1560035,blennies,179019,Enneapterygius larsonae,3.1,LC,2014,Global
1560258,blennies,179021,Acanthanectes hystrix,3.1,LC,2014,Global
1561988,blennies,179035,Ceratobregma acanthops,3.1,LC,2014,Global
1562226,blennies,179037,Enneapterygius mirabilis,3.1,LC,2014,Global
1562457,blennies,179039,Brachynectes fasciatus,3.1,LC,2014,Global
1562668,blennies,179041,Blennioclinus stella,3.1,LC,2014,Global
1563447,blennies,179047,Helcogramma aquila,3.1,LC,2014,Global
1563536,blennies,179048,Apopterygion alta,3.1,LC,2014,Global
1563788,blennies,179050,Cancelloxus longior,3.1,LC,2014,Global
1564235,blennies,179054,Clinus acuminatus,3.1,LC,2014,Global
1564479,blennies,179056,Enneapterygius ziegleri,3.1,LC,2014,Global
1564591,blennies,179057,Enneapterygius gracilis,3.1,LC,2014,Global
1564715,blennies,179058,Helcogramma albimacula,3.1,LC,2014,Global
1564805,blennies,179059,Cancelloxus elongatus,3.1,LC,2014,Global
1564937,blennies,179060,Helcogramma cerasina,3.1,LC,2014,Global
1565159,blennies,179062,Enneapterygius nigricauda,3.1,LC,2014,Global
1565465,blennies,179064,Ceratobregma helenae,3.1,LC,2014,Global
1565788,blennies,179066,Enneapterygius gruschkai,3.1,LC,2014,Global
1566076,blennies,179068,Enneapterygius vexillarius,3.1,LC,2014,Global
1566173,blennies,179069,Blennophis anguillaris,3.1,LC,2014,Global
1566519,blennies,179072,Enneapterygius senoui,3.1,LC,2014,Global
1566613,blennies,179074,Enneapterygius minutus,3.1,LC,2014,Global
1567035,blennies,179077,Enneapterygius miyakensis,3.1,LC,2014,Global
1567147,blennies,179078,Clinus robustus,3.1,LC,2014,Global
1567395,blennies,179080,Enneapterygius clarkae,3.1,LC,2014,Global
1568132,blennies,179086,Enneapterygius trisignatus,3.1,LC,2014,Global
1568220,blennies,179087,Enneapterygius shaoi,3.1,LC,2014,Global
1568496,blennies,179090,Clinus brevicristatus,3.1,LC,2014,Global
1568622,blennies,179091,Climacoporus navalis,3.1,LC,2014,Global
1568891,blennies,179093,Enneapterygius unimaculatus,3.1,LC,2014,Global
1569238,blennies,179096,Clinus superciliosus,3.1,LC,2014,Global
1569370,blennies,179097,Clinus taurus,3.1,LC,2014,Global
1569832,blennies,179102,Enneapterygius elegans,3.1,LC,2014,Global
1570057,blennies,179103,Helcogramma desa,3.1,LC,2014,Global
1570277,blennies,179105,Clinus heterodon,3.1,LC,2014,Global
1570404,blennies,179106,Enneapterygius etheostoma,3.1,LC,2014,Global
1570553,blennies,179107,Enneapterygius howensis,3.1,LC,2014,Global
1570810,blennies,179109,Helcogramma chica,3.1,LC,2014,Global
1571265,blennies,179112,Enneapterygius hemimelas,3.1,LC,2014,Global
1935671,blennies,189744,Clinus arborescens,3.1,LC,2014,Global
1935786,blennies,189746,Enneapterygius hsiojenae,3.1,LC,2014,Global
1935844,blennies,189748,Enneapterygius pallidus,3.1,LC,2014,Global
1938669,blennies,189810,Clinus ornatus,3.1,DD,2014,Global
46664404,blennies,46079816,Istiblennius pox,3.1,LC,2014,Global
46221825,blennies,178895,Enneapterygius rubicauda,3.1,LC,2014,Global
7644709,blennies,180125,Istiblennius colei,3.1,LC,2011,Global
48386360,blennies,48342366,Plagiotremus tapeinosoma,3.1,LC,2014,Global
8172804,blennies,183766,Hypsoblennius sordidus,3.1,LC,2010,Global
8176451,blennies,183781,Hypsoblennius gilberti,3.1,LC,2010,Global
8200765,blennies,183924,Hypsoblennius robustus,3.1,LC,2010,Global
48344975,blennies,48342181,Omobranchus lineolatus,3.1,LC,2014,Global
48346367,blennies,48342141,Omobranchus steinitzi,3.1,DD,2014,Global
48346580,blennies,48342164,Meiacanthus mossambicus,3.1,LC,2014,Global
48349469,blennies,48342238,Xiphasia matsubarai,3.1,LC,2014,Global
48352770,blennies,48342264,Meiacanthus vicinus,3.1,LC,2014,Global
48353281,blennies,172376,Omobranchus zebra,3.1,LC,2014,Global
48353451,blennies,48342284,Omobranchus smithi,3.1,VU,2014,Global
48353610,blennies,48342185,Meiacanthus geminatus,3.1,LC,2014,Global
48355768,blennies,48342314,Stanulus talboti,3.1,LC,2014,Global
48357847,blennies,48342093,Meiacanthus atrodorsalis,3.1,LC,2014,Global
48358271,blennies,48342236,Meiacanthus naevius,3.1,VU,2014,Global
48359378,blennies,48342218,Parenchelyurus hyena,3.1,LC,2014,Global
48362822,blennies,48342292,Stanulus seychellensis,3.1,LC,2014,Global
48364422,blennies,48342416,Meiacanthus fraseri,3.1,LC,2014,Global
48367032,blennies,48342471,Rhabdoblennius snowi,3.1,LC,2014,Global
48368508,blennies,48342405,Meiacanthus bundoon,3.1,LC,2014,Global
48370023,blennies,48342143,Rhabdoblennius papuensis,3.1,DD,2014,Global
48372876,blennies,48342519,Rhabdoblennius rhabdotrachelus,3.1,LC,2014,Global
48373163,blennies,48342207,Meiacanthus reticulatus,3.1,DD,2014,Global
48377617,blennies,48342272,Meiacanthus phaeus,3.1,DD,2014,Global
48378852,blennies,48342376,Meiacanthus nigrolineatus,3.1,LC,2014,Global
48379268,blennies,48342417,Meiacanthus lineatus,3.1,LC,2014,Global
48380128,blennies,48342099,Meiacanthus tongaensis,3.1,LC,2014,Global
48380274,blennies,172487,Omobranchus punctatus,3.1,LC,2014,Global
48380694,blennies,48342254,Meiacanthus luteus,3.1,LC,2014,Global
48384216,blennies,48342158,Meiacanthus limbatus,3.1,DD,2014,Global
48388698,blennies,48342280,Meiacanthus procne,3.1,LC,2014,Global
48389214,blennies,48342378,Meiacanthus urostigma,3.1,LC,2014,Global
48389543,blennies,48342154,Meiacanthus grammistes,3.1,LC,2014,Global
48390292,blennies,48342529,Omobranchus verticalis,3.1,LC,2014,Global
48395593,blennies,48342397,Meiacanthus oualanensis,3.1,LC,2014,Global
48397591,blennies,48342411,Rhabdoblennius nigropunctatus,3.1,LC,2014,Global
48400056,blennies,48342488,Rhabdoblennius nitidus,3.1,LC,2014,Global
48400577,blennies,48342420,Omobranchus woodi,3.1,LC,2014,Global
48401898,blennies,48342398,Meiacanthus crinitus,3.1,LC,2014,Global
48402209,blennies,46080159,Xiphasia setifer,3.1,LC,2014,Global
48403061,blennies,48342445,Meiacanthus smithi,3.1,LC,2014,Global
48403968,blennies,48342462,Scartella emarginata,3.1,LC,2014,Global
48404699,blennies,48342373,Meiacanthus vittatus,3.1,LC,2014,Global
48405700,blennies,48342466,Meiacanthus kamoharai,3.1,LC,2014,Global
48408041,blennies,48342460,Meiacanthus abditus,3.1,LC,2014,Global
48408867,blennies,48342295,Meiacanthus ditrema,3.1,LC,2014,Global
117534644,blennies,48342358,Omobranchus robertsi,3.1,DD,2017,Global
117535540,blennies,48342180,Omox lupus,3.1,LC,2017,Global
1342518,blennies,172447,Entomacrodus vermiculatus,3.1,LC,2014,Global
4595759,blennies,154643,Parenchelyurus hepburni,3.1,LC,2010,Global
4669277,blennies,154927,Entomacrodus macrospilus,3.1,LC,2010,Global
4696147,blennies,155086,Omobranchus fasciolatus,3.1,LC,2010,Global
4704977,blennies,155099,Omobranchus anolius,3.1,LC,2010,Global
4707766,blennies,155034,Crossosalarias macrospilus,3.1,LC,2010,Global
4709936,blennies,155108,Omobranchus rotundiceps,3.1,LC,2010,Global
4762339,blennies,155270,Entomacrodus stellifer,3.1,LC,2010,Global
8082453,blennies,183260,Scartichthys viridis,3.1,LC,2010,Global
8165467,blennies,183725,Scartichthys variolatus,3.1,LC,2010,Global
8198093,blennies,183909,Scartichthys crapulatus,3.1,LC,2010,Global
46664394,blennies,46079775,Hirculops cornifer,3.1,LC,2014,Global
46664399,blennies,46079801,Istiblennius edentulus,3.1,LC,2014,Global
46664409,blennies,46079840,Istiblennius spilotus,3.1,LC,2014,Global
48343566,blennies,48342518,Entomacrodus williamsi,3.1,LC,2014,Global
48345271,blennies,48342130,Salarias guttatus,3.1,LC,2014,Global
48345801,blennies,46079873,Omobranchus mekranensis,3.1,VU,2014,Global
48345971,blennies,48342379,Istiblennius zebra,3.1,LC,2014,Global
48347297,blennies,48342217,Praealticus bilineatus,3.1,LC,2014,Global
48348576,blennies,48342485,Praealticus margaritatus,3.1,LC,2014,Global
48349711,blennies,48342530,Plagiotremus laudandus,3.1,LC,2014,Global
48350654,blennies,48342168,Omobranchus obliquus,3.1,LC,2014,Global
48352328,blennies,48342441,Istiblennius rivulatus,3.1,LC,2014,Global
48353053,blennies,48342464,Parablennius laticlavius,3.1,LC,2014,Global
48353130,blennies,48342455,Parablennius postoculomaculatus,3.1,LC,2014,Global
48354985,blennies,48342505,Nannosalarias nativitatis,3.1,LC,2014,Global
48356382,blennies,46079868,Mimoblennius cirrosus,3.1,LC,2014,Global
48356904,blennies,48342186,Praealticus oortii,3.1,LC,2014,Global
48357354,blennies,48342273,Praealticus multistriatus,3.1,LC,2014,Global
48359259,blennies,48342332,Omobranchus elegans,3.1,LC,2014,Global
48359477,blennies,48342171,Omobranchus germaini,3.1,LC,2014,Global
48360372,blennies,48342312,Omobranchus elongatus,3.1,LC,2014,Global
48360743,blennies,48342282,Parablennius serratolineatus,3.1,VU,2014,Global
48361770,blennies,48342288,Medusablennius chani,3.1,VU,2014,Global
48363259,blennies,48342129,Entomacrodus randalli,3.1,LC,2014,Global
48364026,blennies,48342134,Istiblennius bellus,3.1,LC,2014,Global
48365447,blennies,48342208,Mimoblennius cas,3.1,LC,2014,Global
48366375,blennies,48342502,Parablennius intermedius,3.1,LC,2014,Global
48367272,blennies,48342142,Omobranchus loxozonus,3.1,LC,2014,Global
48368221,blennies,48342174,Mimoblennius atrocinctus,3.1,LC,2014,Global
48368374,blennies,48342359,Salarias segmentatus,3.1,LC,2014,Global
48369958,blennies,48342177,Entomacrodus marmoratus,3.1,LC,2014,Global
48372150,blennies,48342477,Plagiotremus rhinorhynchos,3.1,LC,2014,Global
48373063,blennies,48342290,Mimoblennius rusi,3.1,LC,2014,Global
48373791,blennies,48342109,Parablennius cornutus,3.1,LC,2014,Global
48374598,blennies,48342289,Praealticus striatus,3.1,LC,2014,Global
48375541,blennies,48342496,Glyptoparus delicatulus,3.1,LC,2014,Global
48376255,blennies,48342120,Oman ypsilon,3.1,VU,2014,Global
48376643,blennies,46079924,Parablennius thysanius,3.1,LC,2014,Global
48376893,blennies,48342137,Exallias brevis,3.1,LC,2014,Global
48377855,blennies,48342482,Istiblennius dussumieri,3.1,LC,2014,Global
48378548,blennies,46079911,Parablennius opercularis,3.1,LC,2014,Global
