assessment_id,group,sis_taxon_id,sciname,redlist_version,redlist_category,assessed_year,scope
922185,not comprehensively assessed,162584,Sepia stellifera,3.1,DD,2012,Global
922477,not comprehensively assessed,162585,Idiosepius minimus,3.1,DD,2012,Global
922630,not comprehensively assessed,162586,Sepietta petersi,3.1,DD,2012,Global
922936,not comprehensively assessed,162587,Spirula spirula,3.1,LC,2012,Global
923314,not comprehensively assessed,162588,Sepia peterseni,3.1,DD,2012,Global
923484,not comprehensively assessed,162589,Sepiola rossiaeformis,3.1,DD,2012,Global
923595,not comprehensively assessed,162590,Sepia ivanovi,3.1,DD,2012,Global
923737,not comprehensively assessed,162591,Sepia foliopeza,3.1,DD,2012,Global
923904,not comprehensively assessed,162592,Sepiadarium auritum,3.1,DD,2012,Global
924035,not comprehensively assessed,162593,Sepia lorigera,3.1,DD,2012,Global
924244,not comprehensively assessed,162594,Sepia brevimana,3.1,DD,2012,Global
924623,not comprehensively assessed,162595,Iridoteuthis iris,3.1,DD,2012,Global
924746,not comprehensively assessed,162596,Sepia limata,3.1,LC,2012,Global
924899,not comprehensively assessed,162597,Sepiola robusta,3.1,DD,2012,Global
925206,not comprehensively assessed,162598,Euprymna scolopes,3.1,DD,2012,Global
925343,not comprehensively assessed,162599,Euprymna berryi,3.1,DD,2012,Global
925565,not comprehensively assessed,162600,Sepia kobiensis,3.1,DD,2012,Global
926074,not comprehensively assessed,162601,Austrorossia antillensis,3.1,LC,2012,Global
926272,not comprehensively assessed,162602,Euprymna hyllebergi,3.1,DD,2012,Global
926402,not comprehensively assessed,162603,Sepia simoniana,3.1,DD,2012,Global
926579,not comprehensively assessed,162604,Idiosepius pygmaeus,3.1,DD,2012,Global
926842,not comprehensively assessed,162605,Sepia bandensis,3.1,DD,2012,Global
927065,not comprehensively assessed,162606,Sepia novaehollandiae,3.1,LC,2012,Global
927246,not comprehensively assessed,162608,Sepia dollfusi,3.1,DD,2012,Global
927453,not comprehensively assessed,162609,Sepiola birostrata,3.1,DD,2012,Global
927727,not comprehensively assessed,162610,Sepietta neglecta,3.1,DD,2012,Global
928122,not comprehensively assessed,162611,Austrorossia enigmatica,3.1,DD,2012,Global
928263,not comprehensively assessed,162612,Sepia papillata,3.1,DD,2012,Global
928439,not comprehensively assessed,162613,Sepia erostrata,3.1,LC,2012,Global
928571,not comprehensively assessed,162614,Rossia tortugaensis,3.1,DD,2012,Global
928715,not comprehensively assessed,162615,Sepia adami,3.1,DD,2012,Global
928874,not comprehensively assessed,162616,Semirossia tenera,3.1,LC,2012,Global
929820,not comprehensively assessed,162617,Rossia moelleri,3.1,LC,2012,Global
930024,not comprehensively assessed,162618,Sepia cultrata,3.1,LC,2012,Global
930233,not comprehensively assessed,162619,Sepia vermiculata,3.1,DD,2012,Global
930451,not comprehensively assessed,162620,Sepiola aurantiaca,3.1,LC,2012,Global
930694,not comprehensively assessed,162621,Sepia aureomaculata,3.1,DD,2012,Global
930857,not comprehensively assessed,162622,Sepia cottoni,3.1,LC,2012,Global
931000,not comprehensively assessed,162623,Sepia thurstoni,3.1,DD,2012,Global
931149,not comprehensively assessed,162624,Sepia reesi,3.1,DD,2012,Global
931302,not comprehensively assessed,162625,Sepiella mangkangunga,3.1,LC,2012,Global
931440,not comprehensively assessed,162626,Sepia sulcata,3.1,LC,2012,Global
931625,not comprehensively assessed,162627,Sepia apama,3.1,NT,2012,Global
931900,not comprehensively assessed,162628,Rossia mollicella,3.1,DD,2012,Global
932030,not comprehensively assessed,162629,Sepia braggi,3.1,LC,2012,Global
932240,not comprehensively assessed,162630,Euprymna morsei,3.1,DD,2012,Global
932588,not comprehensively assessed,162631,Sepiola atlantica,3.1,DD,2012,Global
932860,not comprehensively assessed,162632,Pareledone charcoti,3.1,LC,2018,Global
933067,not comprehensively assessed,162633,Sepia rhoda,3.1,LC,2012,Global
933220,not comprehensively assessed,162634,Sepia hedleyi,3.1,LC,2012,Global
933436,not comprehensively assessed,162635,Sepia recurvirostra,3.1,DD,2012,Global
934021,not comprehensively assessed,162637,Sepia bathyalis,3.1,DD,2012,Global
934155,not comprehensively assessed,162638,Sepia acuminata,3.1,DD,2012,Global
934341,not comprehensively assessed,162639,Sepia elliptica,3.1,DD,2012,Global
934582,not comprehensively assessed,162640,Sepia subtenuipes,3.1,DD,2012,Global
934740,not comprehensively assessed,162641,Sepia plathyconchalis,3.1,DD,2012,Global
934873,not comprehensively assessed,162642,Sepia mestus,3.1,LC,2012,Global
935016,not comprehensively assessed,162643,Sepiola ligulata,3.1,DD,2012,Global
935289,not comprehensively assessed,162644,Heteroteuthis dispar,3.1,DD,2012,Global
935830,not comprehensively assessed,162645,Sepia savignyi,3.1,DD,2012,Global
936071,not comprehensively assessed,162646,Sepiola pfefferi,3.1,DD,2012,Global
936237,not comprehensively assessed,162647,Sepia typica,3.1,LC,2012,Global
936400,not comprehensively assessed,162648,Sepiella cyanea,3.1,DD,2012,Global
936570,not comprehensively assessed,162649,Sepia carinata,3.1,DD,2012,Global
936826,not comprehensively assessed,162650,Sepia joubini,3.1,DD,2012,Global
936975,not comprehensively assessed,162651,Sepia elobyana,3.1,DD,2012,Global
937223,not comprehensively assessed,162652,Sepia bidhaia,3.1,LC,2012,Global
937367,not comprehensively assessed,162653,Sepia appellofi,3.1,DD,2012,Global
937531,not comprehensively assessed,162654,Sepiola trirostrata,3.1,DD,2012,Global
937665,not comprehensively assessed,162655,Sepia burnupi,3.1,DD,2012,Global
937822,not comprehensively assessed,162656,Stoloteuthis maoria,3.1,DD,2012,Global
937941,not comprehensively assessed,162657,Idiosepius paradoxus,3.1,DD,2012,Global
938156,not comprehensively assessed,162658,Sepia incerta,3.1,DD,2012,Global
938307,not comprehensively assessed,162659,Sepiola intermedia,3.1,DD,2012,Global
938595,not comprehensively assessed,162660,Sepia andreana,3.1,DD,2012,Global
938919,not comprehensively assessed,162662,Sepia aculeata,3.1,DD,2012,Global
939433,not comprehensively assessed,162663,Neorossia caroli,3.1,LC,2012,Global
939991,not comprehensively assessed,162664,Sepia officinalis,3.1,LC,2012,Global
940453,not comprehensively assessed,162665,Sepiola knudseni,3.1,DD,2012,Global
940677,not comprehensively assessed,162666,Sepia esculenta,3.1,DD,2012,Global
940955,not comprehensively assessed,162667,Sepia arabica,3.1,DD,2012,Global
941205,not comprehensively assessed,162668,Sepia sokotriensis,3.1,DD,2012,Global
941389,not comprehensively assessed,162669,Euprymna stenodactyla,3.1,DD,2012,Global
941509,not comprehensively assessed,162670,Sepia mirabilis,3.1,DD,2012,Global
941958,not comprehensively assessed,162672,Inioteuthis maculosa,3.1,LC,2012,Global
942356,not comprehensively assessed,162673,Sepia rozella,3.1,DD,2012,Global
942516,not comprehensively assessed,162674,Euprymna hoylei,3.1,DD,2012,Global
942672,not comprehensively assessed,162676,Sepia whitleyana,3.1,DD,2012,Global
942869,not comprehensively assessed,162677,Sepia angulata,3.1,DD,2012,Global
943019,not comprehensively assessed,162678,Sepia sewelli,3.1,DD,2012,Global
943177,not comprehensively assessed,162679,Sepia australis,3.1,LC,2012,Global
943377,not comprehensively assessed,162680,Sepia opipara,3.1,LC,2012,Global
943607,not comprehensively assessed,162681,Metasepia pfefferi,3.1,DD,2012,Global
943839,not comprehensively assessed,162682,Rondeletiola minor,3.1,DD,2012,Global
944319,not comprehensively assessed,162683,Austrorossia australis,3.1,LC,2012,Global
944514,not comprehensively assessed,162684,Sepiella ocellata,3.1,DD,2012,Global
944655,not comprehensively assessed,162685,Sepiadarium gracilis,3.1,DD,2012,Global
944773,not comprehensively assessed,162686,Idiosepius picteti,3.1,DD,2012,Global
944902,not comprehensively assessed,162687,Sepia zanzibarica,3.1,DD,2012,Global
945167,not comprehensively assessed,162695,Pareledone cornuta,3.1,LC,2018,Global
945349,not comprehensively assessed,162696,Adelieledone piatkowski,3.1,LC,2018,Global
945505,not comprehensively assessed,162697,Pareledone panchroma,3.1,LC,2018,Global
945672,not comprehensively assessed,162698,Pareledone aurorae,3.1,LC,2018,Global
945856,not comprehensively assessed,162699,Thaumeledone rotunda,3.1,LC,2018,Global
946021,not comprehensively assessed,162700,Adelieledone polymorpha,3.1,LC,2018,Global
946212,not comprehensively assessed,162701,Praealtus paralbida,3.1,LC,2018,Global
946374,not comprehensively assessed,162702,Thaumeledone marshalli,3.1,LC,2018,Global
946530,not comprehensively assessed,162703,Thaumeledone peninsulae,3.1,LC,2018,Global
946686,not comprehensively assessed,162704,Tetracheledone spinicirrus,3.1,DD,2018,Global
946862,not comprehensively assessed,162705,Pareledone aurata,3.1,LC,2018,Global
946989,not comprehensively assessed,162706,Pareledone albimaculata,3.1,LC,2018,Global
947157,not comprehensively assessed,162707,Pareledone subtilis,3.1,LC,2018,Global
947324,not comprehensively assessed,162708,Thaumeledone gunteri,3.1,LC,2018,Global
947487,not comprehensively assessed,162709,Thaumeledone zeiss,3.1,LC,2018,Global
947645,not comprehensively assessed,162710,Pareledone prydzensis,3.1,LC,2018,Global
947986,not comprehensively assessed,162712,Thaumeledone brevis,3.1,DD,2018,Global
948145,not comprehensively assessed,162713,Pareledone serperastrata,3.1,LC,2018,Global
948327,not comprehensively assessed,162714,Bathypurpurata profunda,3.1,DD,2018,Global
948474,not comprehensively assessed,162715,Velodona togata,3.1,DD,2018,Global
948614,not comprehensively assessed,162716,Pareledone framensis,3.1,LC,2018,Global
948796,not comprehensively assessed,162717,Pareledone felix,3.1,LC,2018,Global
948963,not comprehensively assessed,162718,Adelieledone adelieana,3.1,LC,2018,Global
949136,not comprehensively assessed,162719,Vosseledone charrua,3.1,DD,2018,Global
949315,not comprehensively assessed,162720,Pareledone turqueti,3.1,LC,2018,Global
949517,not comprehensively assessed,162721,Pareledone aequipapillae,3.1,LC,2018,Global
950290,not comprehensively assessed,162894,Bathyteuthis berryi,3.1,DD,2014,Global
950440,not comprehensively assessed,162897,Octopus micros,3.1,DD,2018,Global
950548,not comprehensively assessed,162899,Amphitretus pelagicus,3.1,LC,2014,Global
951370,not comprehensively assessed,162900,Todarodes filippovae,3.1,LC,2014,Global
951553,not comprehensively assessed,162901,Uroteuthis vossi,3.1,DD,2019,Global
951582,not comprehensively assessed,162902,Mastigoteuthis cordiformis,3.1,DD,2014,Global
951656,not comprehensively assessed,162903,Octopus huttoni,3.1,DD,2018,Global
951662,not comprehensively assessed,162904,Enoploteuthis higginsi,3.1,LC,2014,Global
951790,not comprehensively assessed,162905,Enoploteuthis obliqua,3.1,LC,2014,Global
951921,not comprehensively assessed,162906,Helicocranchia pfefferi,3.1,DD,2014,Global
952117,not comprehensively assessed,162907,Octopus vitiensis,3.1,DD,2018,Global
952123,not comprehensively assessed,162908,Histioteuthis miranda,3.1,LC,2014,Global
952287,not comprehensively assessed,162909,Egea inermis,3.1,LC,2014,Global
952453,not comprehensively assessed,162910,Chtenopteryx sicula,3.1,DD,2014,Global
952525,not comprehensively assessed,162911,Octopus joubini,3.1,LC,2018,Global
952531,not comprehensively assessed,162912,Ameloctopus litoralis,3.1,LC,2018,Global
952657,not comprehensively assessed,162913,Callistoctopus nocturnus,3.1,LC,2018,Global
952663,not comprehensively assessed,162914,Muusoctopus longibrachus,3.1,LC,2018,Global
952917,not comprehensively assessed,162916,Leachia atlantica,3.1,DD,2014,Global
953097,not comprehensively assessed,162917,Opisthoteuthis mero,3.1,EN,2014,Global
953226,not comprehensively assessed,162918,Grimpoteuthis innominata,3.1,DD,2014,Global
953330,not comprehensively assessed,162919,Octopoteuthis danae,3.1,DD,2014,Global
953650,not comprehensively assessed,162920,Afrololigo mercatoris,3.1,LC,2019,Global
953701,not comprehensively assessed,162922,Abralia spaercki,3.1,DD,2014,Global
953836,not comprehensively assessed,162923,Loliolus uyii,3.1,DD,2019,Global
953842,not comprehensively assessed,162924,Amphioctopus polyzenia,3.1,DD,2018,Global
953880,not comprehensively assessed,162925,Histioteuthis heteropsis,3.1,LC,2014,Global
954040,not comprehensively assessed,162926,Eucleoteuthis luminosa,3.1,LC,2014,Global
954300,not comprehensively assessed,162928,Octopoteuthis nielseni,3.1,DD,2014,Global
954416,not comprehensively assessed,162929,Muusoctopus normani,3.1,LC,2018,Global
954587,not comprehensively assessed,162930,Gonatopsis borealis,3.1,LC,2014,Global
954756,not comprehensively assessed,162931,Gonatus madokai,3.1,LC,2014,Global
954911,not comprehensively assessed,162932,Octopus nanus,3.1,DD,2018,Global
954917,not comprehensively assessed,162933,Abraliopsis pacificus,3.1,LC,2014,Global
955048,not comprehensively assessed,162934,Histioteuthis eltaninae,3.1,LC,2014,Global
955213,not comprehensively assessed,162935,Pickfordiateuthis pulchella,3.1,DD,2019,Global
955266,not comprehensively assessed,162937,Eledone palari,3.1,LC,2018,Global
955272,not comprehensively assessed,162938,Stigmatoteuthis hoylei,3.1,LC,2014,Global
955442,not comprehensively assessed,162939,Cirrothauma magna,3.1,DD,2014,Global
955532,not comprehensively assessed,162940,Uroteuthis bengalensis,3.1,DD,2019,Global
