group,sis_taxon_id,assessment_id,year_published
birds,22693207,154826903,2025
birds,22693216,154829987,2025
birds,22690247,154836860,2025
birds,22687762,154837675,2025
birds,22687868,154838046,2025
birds,22681978,154839180,2025
birds,22686195,154839686,2025
birds,22686079,154840201,2025
birds,22708879,154875638,2025
birds,22721414,154876042,2025
birds,22680326,154877872,2025
birds,22687100,154878243,2025
birds,22687479,154878662,2025
birds,22685888,154880482,2025
birds,22702613,154881253,2025
birds,22702467,154881704,2025
birds,22699350,154882096,2025
birds,22699277,154882461,2025
birds,22699963,154883204,2025
birds,22700213,154883552,2025
birds,22700220,154883979,2025
birds,22700007,154884457,2025
birds,22700038,154884897,2025
birds,22723105,154886084,2025
birds,22723895,154886629,2025
birds,22723336,154887585,2025
birds,22723326,154887950,2025
birds,22714261,157390801,2025
birds,22696064,157447886,2025
birds,22692425,157453571,2025
birds,22680683,157474468,2025
birds,22731673,167222926,2025
birds,22722921,167306243,2025
birds,61767847,167850462,2025
birds,22729005,167856768,2025
birds,22689097,167861290,2025
birds,103682222,168365612,2025
birds,22731714,168368165,2025
birds,103682408,168375190,2025
birds,22724652,168667417,2025
birds,103815085,172723108,2025
birds,22715369,173598601,2025
birds,103762276,176218712,2025
birds,22684478,182284134,2025
birds,103878806,183061336,2025
birds,22733554,198107113,2025
birds,22725653,209520163,2025
birds,22683234,216194017,2025
birds,22683889,227971450,2025
birds,22709325,227972217,2025
birds,22693883,246087452,2025
birds,22707934,256090346,2025
birds,22697519,264970728,2025
birds,22691910,265043015,2025
birds,22693042,281027943,2025
birds,22732019,281975339,2025
birds,22682400,282141093,2025
birds,22682379,282171331,2025
birds,22694078,281026946,2025
birds,22696084,281960697,2025
birds,22690066,281965783,2025
birds,22722355,137101435,2025
birds,22721033,137369486,2025
birds,22711581,137578947,2025
birds,22711978,137637409,2025
birds,22712098,137690434,2025
birds,22705986,137724577,2025
birds,22700994,137810447,2025
birds,103810895,138421809,2025
birds,22696634,139348808,2025
birds,22690762,139697722,2025
birds,103881613,139818268,2025
birds,22701971,140531480,2025
birds,22729157,140946304,2025
birds,22688766,152353005,2025
birds,22688637,168810666,2025
birds,22680178,180126280,2025
birds,22688891,182247782,2025
birds,22680807,182249437,2025
birds,22711133,209318101,2025
birds,22718436,251478446,2025
birds,22683015,263632802,2025
birds,22680837,263978578,2025
birds,22687133,264000258,2025
birds,61634940,264077440,2025
birds,22687469,264082853,2025
birds,22684350,264140148,2025
birds,22689501,264146933,2025
birds,22708832,264265423,2025
birds,22708935,264266289,2025
birds,22700402,264310325,2025
birds,22700446,264316031,2025
birds,22734682,264337414,2025
birds,22724415,264360180,2025
birds,22729431,264367508,2025
birds,22691905,265042404,2025
birds,22699836,280984757,2025
birds,103868436,280985377,2025
birds,103848963,280987370,2025
birds,103868426,280988325,2025
birds,22712104,280988691,2025
birds,22706010,280989020,2025
birds,22700458,281000066,2025
birds,22700455,281000842,2025
birds,22695883,281002671,2025
birds,45418555,281009825,2025
birds,22683018,281010227,2025
birds,22681149,281011098,2025
birds,22723622,281013899,2025
birds,22705222,281020022,2025
birds,103890779,281020497,2025
birds,22736363,281021141,2025
birds,22686698,281021301,2025
birds,22721711,281028878,2025
birds,103891921,281032753,2025
birds,62169677,281035771,2025
birds,103681452,281038479,2025
birds,22709711,281480562,2025
birds,22720062,154426698,2025
birds,22693727,154464259,2025
birds,22714714,154472076,2025
birds,22714700,154477458,2025
birds,22714916,154486216,2025
birds,22709691,154488644,2025
birds,22735995,154497836,2025
birds,22715457,208962088,2025
birds,22726340,250552840,2025
birds,22696922,255936009,2025
birds,22717750,263765293,2025
birds,22679862,269937332,2025
birds,22692676,280991186,2025
birds,22690117,280992184,2025
birds,22718197,280993767,2025
birds,22735596,280994061,2025
birds,22694127,280994521,2025
birds,22680348,280995672,2025
birds,103761508,281002070,2025
birds,22697432,281002258,2025
birds,22693759,281003741,2025
birds,22715249,281005303,2025
birds,22717301,281005976,2025
birds,22717285,281008093,2025
birds,22689887,281014252,2025
birds,22686806,281015715,2025
birds,104317670,281016358,2025
birds,22686800,281017590,2025
birds,22709315,281018969,2025
birds,22720993,281022233,2025
birds,22735845,281022911,2025
birds,22716901,281023712,2025
birds,22732302,281026223,2025
birds,22714894,281026432,2025
birds,103774053,281030812,2025
birds,22678652,281032492,2025
birds,22710881,281036698,2025
birds,22720641,281040405,2025
birds,22678661,281040805,2025
birds,22714736,281467570,2025
birds,22692943,281017403,2025
birds,103845906,280984987,2025
birds,22722912,280989386,2025
birds,22696134,281488645,2025
birds,103765775,154024562,2025
birds,45470702,161865951,2025
birds,60759996,263602418,2025
birds,22691500,263719072,2025
birds,22715525,263795528,2025
birds,103892720,263831296,2025
birds,22704739,263900822,2025
birds,22688899,264063001,2025
birds,22691577,264080142,2025
birds,22689465,264138651,2025
birds,22710540,264177086,2025
birds,22714396,264195381,2025
birds,22714205,264207061,2025
birds,103892086,264218626,2025
birds,22735563,264238344,2025
birds,103710179,264281224,2025
birds,103690968,264314685,2025
birds,22704221,264327030,2025
birds,22717558,264328126,2025
birds,22717549,264329317,2025
birds,103685875,264330000,2025
birds,103685978,264333177,2025
birds,103710549,264334876,2025
birds,103702475,264351859,2025
birds,22707358,264357165,2025
birds,22705966,264365021,2025
birds,103693352,264377843,2025
birds,103693348,264378371,2025
birds,22706128,264385424,2025
birds,103715229,264406599,2025
birds,103715221,264407794,2025
birds,103710131,264421261,2025
birds,22692146,265333107,2025
birds,22706495,280985712,2025
birds,22683442,280986198,2025
birds,103710723,280986797,2025
birds,22714168,280986982,2025
birds,103711768,280988122,2025
birds,22714208,280989228,2025
birds,22714196,280989563,2025
birds,22735703,280989912,2025
birds,22680395,280990245,2025
birds,22683898,280992687,2025
birds,22703858,280993347,2025
birds,22693651,280996786,2025
birds,103712805,280996968,2025
birds,22692632,280997170,2025
birds,22703884,280997391,2025
birds,22695689,280997734,2025
birds,22693647,280997918,2025
birds,22710534,280998327,2025
birds,22731197,280998683,2025
birds,22725548,280999801,2025
birds,103734942,281000278,2025
birds,22714335,281001487,2025
birds,22684627,281001851,2025
birds,103798480,281003151,2025
birds,22714234,281003577,2025
birds,22722942,281004936,2025
birds,103685849,281006518,2025
birds,22735714,281006953,2025
birds,22735719,281007434,2025
birds,103735468,281009084,2025
birds,22693943,281011953,2025
birds,22680118,281012168,2025
birds,22704683,281012375,2025
birds,22707243,281012557,2025
birds,22697004,281012837,2025
birds,104006414,281013668,2025
birds,22734941,281015146,2025
birds,103710458,281018700,2025
birds,103685955,281020721,2025
birds,22696938,281021507,2025
birds,22696473,281024624,2025
birds,62023843,281025369,2025
birds,22692880,281025974,2025
birds,22695091,281027154,2025
birds,22691505,281027403,2025
birds,22706865,281027574,2025
birds,22707377,281027742,2025
birds,22692521,281028305,2025
birds,22693540,281029230,2025
birds,103685011,281029633,2025
birds,22693600,281030269,2025
birds,22703830,281030978,2025
birds,22707403,281031142,2025
birds,22698700,281031350,2025
birds,22689394,281033875,2025
birds,22695538,281034102,2025
birds,103702470,281034285,2025
birds,22725229,281035548,2025
birds,22704227,281036226,2025
birds,22691460,281040216,2025
birds,45419311,281040607,2025
birds,22693264,281834262,2025
birds,22680186,281835571,2025
birds,22696702,281836797,2025
birds,22679872,281837234,2025
birds,22697346,281837651,2025
birds,22693770,281838575,2025
birds,22697691,281839847,2025
birds,22697669,281840802,2025
birds,22706068,281841771,2025
birds,22692543,281842534,2025
birds,22679856,281843607,2025
birds,22679839,281844289,2025
birds,22696944,281845065,2025
birds,22696974,281845566,2025
birds,22696931,281846090,2025
birds,22693906,281846568,2025
birds,22693085,281847247,2025
birds,62120190,281847787,2025
birds,62120280,281849066,2025
birds,22693644,281849747,2025
birds,22727969,281850195,2025
birds,22697314,281851669,2025
birds,22679464,281852120,2025
birds,22693133,281852490,2025
birds,22680157,281853446,2025
birds,22680465,281854675,2025
birds,22696734,281855387,2025
birds,22697648,281855989,2025
birds,22697611,281856383,2025
birds,22727137,281856721,2025
birds,22697555,281857155,2025
birds,22697426,281858067,2025
birds,22697422,281858334,2025
birds,22692827,281859572,2025
birds,22692792,281860045,2025
birds,22692684,281860971,2025
birds,22725141,281861442,2025
birds,22692479,281862281,2025
birds,103815961,281862538,2025
birds,22694256,281864060,2025
birds,22693052,281864591,2025
birds,22696545,281865439,2025
birds,22680003,281866558,2025
birds,22693247,281867467,2025
birds,22693220,281868802,2025
birds,22693251,281870102,2025
birds,22692663,281871244,2025
birds,22711542,137627002,2025
birds,22699635,138059351,2025
birds,22699590,138063236,2025
birds,103811599,138436299,2025
birds,62154828,154019363,2025
birds,22723237,154887125,2025
birds,103657467,167224573,2025
birds,103680403,168248372,2025
